Title;Location;Price;Posted On;Pillar Size;Tank Capacity;Road Size;Road Type;Built On;Land Area;House Area;Beds;Living;Kitchen;Bathrooms;Property Face Direction;Parking Space;Amenities
Kimdol House On Sale;location: Kathmandu, Kimdol;Rs 61500000 /-;2 months ago;12*12 Inchs;12000 liters;13 Feets;Black Topped;2079 B.S.;5.3aana;3280 Sq.ft;5;1;1;6;South-West;2 Cars & 8 Bikes;['Solar', 'Water Filter', 'Modular Kitchen']
Dallu House On Sale;location: Kathmandu, Dallu;Rs 50000000;2 months ago;12*12 Inchs;12000 liters;13 Feets;Black Topped;2079 B.S.;5.3aana;3280 Sq.ft;5;1;1;6;South-West;2 Cars & 8 Bikes;['Solar', 'Water Filter', 'Modular Kitchen']
Sitapaila, Sita Home Colony House Is On Sale;location: Kathmandu, Sitapaila;Rs Rs 38,500,000/-;2 months ago;9*12 Inches;12000 Liters;16 feets;Black Topped;2073;5.3aana;3280 Sq.ft;5;1;1;6;South-West;2 Cars & 8 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well', 'Servent Quarter']
Sano Bharayang House on Sale;location: KATHMANDU, SANOBHARYANG;Rs Rs 36000000/-;2 months ago;12*12 Inchs;12000 Liters;20 Feets;Concrete;2078 B.S.;3.2 Anna;3050 Sq.Ft;19;2;4;3;SOUTH;1 Car & 2 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Sukedhara house on best price;location: Sukedhara , Kathmandu;Rs Rs 31,000,000 /-;2 months ago;12*12 Inchs;6000 Liters;8 Feet's;Blocks;2078 B..S;2.5;1972 Sq.ft;3;1;1;2;SOUTH;1 Car & 1 Bikes;['Solar', 'Water Filter']
Brand New Bafal House on Best Price;location: KATHMANDU, BAFAL;Rs Rs 28,500,000/-;3 months ago;12*12 Inchs;12000 Liters;13 Feets;Concrete;2079 B.S.;4 Anna;2756 sq.ft;6;2;2;4;NORTH-WEST;2 Car & 2 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Chamati New House on Sell;location: Kathmandu, Chamati;Rs Rs 35,500,000/-;3 months ago;12*12 Inchs;12000 Liters;20 Feets;Black Topped;2078 B..S;3.1 Anna;2651.47;7;3;3;5;NORTH;1 Car & 3 Bikes;['Modular Kitchen', 'Water Well']
Sitapaila Brand New House on Sale;location: Kathmandu, Sitapaila;Rs Rs 55,000,000/-;3 months ago;12*12 Inchs;12000 liters;18 Feets;Black Topped;2079 B.S;6 Anna;3157 Sq.ft;7;2;2;5;South-West;2 Cars & 5 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well']
House on Sale on Sitapaila;location: Kathmandu, Sitapaila;Rs 42,500,000/-;3 months ago;12*12 Inchs;12000 Liters;13 Feets;Concrete;2078 B..S;7 Anna;3512 Sq.ft.;6;3;2;7;WEST;2 Car & 5 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well']
House for sale in Swayambhu;location: Swayambhu, Kathmandu;Rs 70,00,000 per aana;3 months ago;12;100;20;paved;1990;6 aana;5 aana;4;2;1;4;South;1;['No Amenities Available']
Sitapaila Brand New Home on Sale;location: Kathmandu, Sitapaila;Rs Rs 22,500,000/-;3 months ago;12*12 Inchs;12000 Liters;10 Feets;Gravel;2079 B.S.;2.2 Anna;1954 sq.ft;3;1;1;3;SOUTH;1 Car & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Ramkot-Mahankal New House;location: Kathmandu, Ramkot;Rs Rs 28,500,000/-;3 months ago;12*12 Inchs;12000 liters;12 Feets;Concrete;2079 B.S;4 Anna;2944 Sq.ft;6;2;2;4;South;1 Car & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Kalimati, Tankeshwor House and Land Sale;location: Kathmandu, Kalimati,Tankeshwor;Rs Rs 8,000,000/Lakh Per Anna;4 months ago;Wall System;12000 liters;13 Feets;Concrete;2079 B.S;21.3 Anna;2944 Sq.ft;4;2;1;4;SOUTH;10 Cars & 10-15 Bikes;['Solar', 'Modular Kitchen', 'Water Well', 'Servent Quarter']
Padma Colony House Sale;location: Kathmandu, Ramkot, Padma Colony;Rs 4.2 Crore;4 months ago;12*12 Inchs;12000 Liters;16 feets;Concrete;2074 B.S;0-7-2-0;3100 sq.ft;9;3;2;6;EAST;2 Cars & 3 Bikes;['Solar', 'Water Filter', 'Water Well']
Gongabu House for Sale;location: Kathmandu, Gongabu;Rs 24500000;4 months ago;12*12 Inchs;12000 Liters;12 Feet;Gravel;2074 B.S;2.2 Anna;3100 sq.ft;6;3;2;3;NORTH;1 Car & 2 Bikes;['No Amenities Available']
Lalitpur/ Sangam Basti House On Sale;location: Lalitpur/ Sangam Basti;Rs Rs 68,000,000/-;4 months ago;12*12 Inchs;10000 Liters;13 Feet;Concrete;2074 B.S;6 Anna;3100 sq.ft;5;1;1;4;NORTH;1 Car & 3 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well']
Residential House at Golfutar / Bansbari;location: Kathmandu, Bansbari;Rs 45000000;4 months ago;12*12 Inchs;10000 Liters;13 Feets;Concrete;2074 B.S;4 Anna;3100 sq.ft;7;2;2;5;SOUTH-EAST;1 Car & 3 Bikes;['Modular Kitchen', 'Water Well']
Bansbari Semi-Bungalow;location: Kathmandu, Budhanilkantha, Golfutar, Bansbari;Rs Rs 80,000,000/-;4 months ago;12*12 Inchs;12000 Liters;16 feets;Concrete;;16 Anna;;11;3;1;7;EAST-SOUTH;3 Cars and 10 bikes;['Solar', 'Modular Kitchen', 'Water Well', 'Servent Quarter']
Sanobharyang Brand New House;location: Kathmandu/ Nagarjung/ Sanobharyang;Rs Rs 29,900,000/-;4 months ago;12*12 Inchs;12000 Liters;12 Feets;Concrete;;0.3.0.1 Anna;;7;2;2;4;NORTH;1 Car & 5 Bikes;['Modular Kitchen', 'Water Well']
Halchowk House;location: Kathmandu, Nagarjung, Halchowk;Rs 37500000;4 months ago;12*12 Inchs;12000 Liters;13 Feets;Concrete;;3.3.2 Anna;;8;2;2;4;NORTH-WEST;2 Car & 5 Bikes;['Water Well']
Bafal House for Sale;location: Kathmandu, Nagarjung, Bafal;Rs 325000000;4 months ago;12*12 Inchs;12000 Liters;14 Feet;Black Topped;;3 Anna;1026.75 sq.ft;5;1;2;3;SOUTH;1 Car & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Dallu House On Sale;location: Kathmandu, Dallu;Rs 28500000;4 months ago;9*9 Inchs;12000 Liters;20 Feets;Black Topped;;3.2 Anna;1026.75 sq.ft;4;2;2;3;SOUTH-WEST;1 Car & 3 Bikes;['Solar', 'Water Well']
Lolang Land;location: Kathmandu, Tarkeshwor, Lolang;Rs 30 LAKH PER ANNA;5 months ago;9*9 Inchs;12000 Liters;13 Feets;Concrete;;0-12-3-2;1026.75 sq.ft;4;2;2;3;South-EAST;1 Car & 3 Bikes;['No Amenities Available']
RANIBAN HOUSE FOR SALE;location: KATHMANDU, NAGARJUNG, RANIBAN;Rs 60000000;5 months ago;12*12 Inch;10000 Liters;14 Feet;Black Topped;;10.1.2 Anna;1026.75 sq.ft;6;3;3;7;WEST / NORTH;2 Car & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Thulo Bharayang House on Sale;location: Kathmandu, Thulo Bharayang;Rs Rs 41,500,000;5 months ago;12*12 Inchs;12000 liters;13 Feets;Concrete;2079 B.S;0.4.1.1 Anna;3125 sq.ft;7;1;3;6;East- North;2 Cars & 4 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Milan Tole Sitapaila;location: Kathmandu / Sitapaila / Milan Tole;Rs 42000000;5 months ago;9*12 inch;12000 Liters;13 Feets;Blocks;2079 B.S;8 Anna;3125 sq.ft;8;2;3;5;EAST;2 Cars & 2 Bikes;['No Amenities Available']
SANOBHARYANG HOUSE FOR SALE;location: KATHMANDU / NAGARJUNG / SANOBHARYANG;Rs 31500000;5 months ago;;12000 Liters;13 Feets;Concrete;;3 Anna;;6;2;2;3;NORTH;1 Car & 3 Bikes;['No Amenities Available']
RADHA KRISHNA MANDIR HOUSE ON SALE;location: KATHMANDU, RADHA KRISHNA;Rs 26500000;5 months ago;;12000 Liters;13 Feets;Black Topped;;3 Anna;;5;1;1;3;SOUTH;1 Car & 2 Bikes;['Solar']
Sano Bharayang House;location: Kathmandu, Sano Bhanrayang;Rs Rs 37,500,000;5 months ago;12*12 Inchs;12000 liters;13 Feets;Concrete;2074 B.S.;0.5.2.0;3185 Sq.ft;6;2;2;5;South-West;2 Cars & 5 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well']
BUDDHA CHOWK PROPERTY;location: KATHMANDU,BUDDHA CHOWK, GANESH CHOWK;Rs 22500000;5 months ago;12*12 Inchs;6000 Liters;12 Feets;Concrete;2074 B.S.;2 Anna 3 Paisa 2 Dam;3185 Sq.ft;6;2;2;5;WEST / NORTH;2 Cars & 5 Bikes;['No Amenities Available']
RANIBAN/ TINGHARE HOUSE / LAND;location: KATHMANDU / RANIBAN / TINGHARE;Rs 60 LAKH PER ANNA ACCORDING TO THE LAND;5 months ago;12*12 Inchs;6000 Liters;22 FEETS ROAD;Black Topped;2074 B.S.;7 Aana;3185 Sq.ft;6;2;2;5;EAST;2 Car & 3 Bikes;['No Amenities Available']
Sano Bharayang, Tin Ghare House on Sale;location: Kathmandu, Sano bharayang;Rs Rs 26,000,000;6 months ago;12*12 Inchs;10000 Liters;13 Feets;Concrete;2076 B.S;3.1 Anna;2359 sq.ft;5;2;2;4;WEST;1 Car & 3 Bikes;['Solar', 'Modular Kitchen']
CHAMATI PROPERTY FOR SALE;location: KATHMANDU, CHAMATI;Rs 29500000;6 months ago;12*12 Inchs;10000 Liters;20 Feets;Black Topped;2079 B.S.;2.5 Anna;2225 sq feet;8;2;1;3;EAST;1 Car & 2 Bikes;['No Amenities Available']
Swoyambhu House on Sale;location: Kathmandu, Swoyambhu, Karkhana chowk;Rs Rs33,500,000;6 months ago;12*12 Inchs;12000 Liters;16 feets;Blocks;2073 B.s;4 Anna;2320 sq.ft.;4;2;1;5;NORTH;1 Car & 3 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well']
RANIBAN SUNRISE PROPERTY;location: KATHMANDU, NAGARJUNG, RANIBAN;Rs 30000000;6 months ago;12*12 Inchs;12000 Liters;13 Feets;Gravel;2073 B.s;4 Anna;2320 sq.ft.;4;2;2;1;East;1 Car & 2 Bikes;['No Amenities Available']
SITAPAILA-4 PROPERTY FOR SALE;location: KATHMANDU, SITAPAILA;Rs 38500000;6 months ago;12*12 Inch;10000 Liters;10 Feets;Concrete;;6.1.9 Anna;;9;1;2;4;WEST;2 Car & 6 Bikes;['No Amenities Available']
IMADOL PROPERTY FOR SALE;location: IMADOL, LALITPUR;Rs 27500000;6 months ago;12*12 Inch;10000 Liters;13 Feets;Blocks;;3 Anna;;5;1;1;3;EAST;1 Car & 3 Bikes;['No Amenities Available']
IMADOL HOUSE FOR SALE;location: LALITPUR, IMADOL;Rs 27500000;6 months ago;12*12 Inch;10000 Liters;13 Feets;Gravel;;3 Anna;;6;1;1;5;NORTH;1 Car & 2 Bikes;['Solar', 'Modular Kitchen']
IMADOL SHEETAL HEIGHT HOUSE;location: LALITPUR, IMADOL;Rs 34500000;6 months ago;12*12 Inch;10000 Liters;13 Feets;Gravel;;5 Anna;;7;2;2;7;EAST;2 Car & 3 Bikes;['No Amenities Available']
SANOBHARYANG HOUSE FOR SALE;location: KATHMANDU, SANOBHARYANG;Rs 49000000;6 months ago;12*12 Inch;10000 Liters;20 Feets;Blocks;;4.2 Anna;;5;2;1;2;SOUTH-EAST;1 Car & 3 Bikes;['No Amenities Available']
CHAMATI HOUSE FOR SALE;location: KATHMANDU, CHAMATI;Rs 27000000;6 months ago;12*12 Inch;10000 Liters;20 Feets;Black Topped;;2.5 Anna;;5;1;2;3;SOUTH;1 Car & 3 Bikes;['No Amenities Available']
SORAKHUTTE-16 HOUSE ON SALE;location: KATHMANDU, SORAKHUTTE;Rs 25000000;6 months ago;9*9 Inch;10000 Liters;7 FT;Concrete;2064 B.S;2.3 Anna;;12;4;2;4;EAST;5 Bikes;['Solar', 'Water Filter']
House for sale;location: Imadol 4 bojepokhari lalitpur nepal;Rs 275;6 months ago;12/12;15000;13;Gravel;2079;0.3.2.1;2461.30;6;2;2;5;East;11/13;['Solar', 'Modular Kitchen', 'Water Well']
Bhaisepati, Wai Wai Chowk House on Sale;location: Kathmandu, Bhaisepati;Rs Rs 38,000,000;7 months ago;12*12 Inchs;10000 Liters;13 Feets;Gravel;2079 B.S.;5 Anna;3218 sq.ft;7;2;2;7;SOUTH-WEST;2 Car & 5 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Sitapaila House on Sale;location: Kathmandu, Sitapaila-15;Rs Rs 390,00,000;7 months ago;9*12 inchs;12000 Liters;13 Feets;Black Topped;2065 B.S;0.4.2.0;3587 sq.ft;8;2;2;5;SOUTH;2 Car & 5 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
LAZIMPAT PROPERTY ON SALE;location: KATHMANDU, LAZIMPAT;Rs 15500000;7 months ago;12*12 Inch;12000 Liters;22 meters;Black Topped;2065 B.S;3 Paisa;3587 sq.ft;8;2;2;2;EAST/WEST;2 Car & 5 Bikes;['No Amenities Available']
BANESHWOR-10 HOUSE ON SALE;location: KATHMANDU, BANESHWOR;Rs Rs 84 Lakh/Anna( Negotiable);7 months ago;12*12 Inch;12000 Liters;8 Feets;Black Topped;2065 B.S;5.3 Anna;3587 sq.ft;3;2;1;1;SOUTH;1 Car & 5 Bikes;['Water Well']
Chyasindol, Tokha House on Sale;location: Kathmandu, Budhanilkantha, Chyasindol;Rs 14,500,000;7 months ago;9*12 Inch;8000 Liters;13 Feet;Concrete;2072 B.S;2.2 Anna;1316 sq.ft;3;2;2;2;South;1 Car & 2 Bikes;['Solar']
Dhapasi Height Bungalow;location: Kathmandu, Dhapasi Height;Rs Rs 127,500,000;7 months ago;16*16 inch;16000 liters;14 Feet;Concrete;2079 B.S;14 Anna;6512 sq.ft;2;3;1;2;East-North;3 Cars & 4 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well', 'Servent Quarter']
Hattiban Tradtion Fusion Home;location: Lalitpur, Hattiban;Rs 21,500,000/-;7 months ago;12*12 Inchs;12000 Liters;13 Feets;Concrete;2079 B.S.;3 Anna;2267 Sq.ft;5;1;1;3;SOUTH;1 Car & 2 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well']
Kaldhara 7 Anna Land on Sale;location: Kathmandu, Sorakhutee, Kaldhara;Rs 65000000;7 months ago;9*9 Inchs;12000 Liters;8 Feets;Blocks;2048 B.S;7 Anna;2546 sq.ft;9;1;3;3;South-EAST;10 Bikes;['Water Well']
HOUSE ON SALE IN BIRATNAGAR RADHAKRISHNA MANDIR EAST ( PRICE : 3200000 );location: BIRATNAGAR RADHAKRISHNA MANDIR EAST;Rs PRICE : 3200000;8 months ago;call us;call us;call us;call us;call us;7 dhur;1275.75;9;1;3;3;South-EAST;10 Bikes;['Water Well']
Sitapaila House Sale;location: Kathmandu, Sitapaila;Rs Rs 28,500,000;8 months ago;12*12 Inchs;10000 Liters;14 Feet;Concrete;2079 B.S.;3.5 Anna;2320 sq.ft.;4;1;1;4;SOUTH-EAST;1 Car & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Tahachal Brand New Houses;location: Kathmandu,Bafal,Tahachal;Rs 3.75-4.6 Cr;8 months ago;12*12 Inchs;12000 Liters;14 Feets;Blocks;2079 B.S.;3.5 - 4 Anna;;4;1;1;4;SOUTH;2 Cars & 3 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well']
Dallu House Sale;location: Kathmandu, Dallu;Rs 47000000;8 months ago;12*12 Inchs;12000 Liters;12-13 Feets;Gravel;2074 B.S;5 Anna;3125Sq.ft;12;2;4;5;SOUTH;2 Cars & 3 Bikes;['Solar', 'Water Filter', 'Water Well']
HOUSE ON SALE IN BIRATNAGAR TRIMURTI CHOWK;location: BIRATNAGAR TRIMURTI CHOWK;Rs NRs. 6000000;8 months ago;call us;call us;6ft;gravel;call us;5.5 dhur;3125Sq.ft;12;2;4;5;SOUTH;2 Cars & 3 Bikes;['Water Well']
Sano Bharayang Family House;location: Kathmandu,Nagarjung, Sano bharayang;Rs 25,500,000;8 months ago;12*12 Inchs;10000 Liters;13 Feets;Concrete;2078 B..S;0.2.3.0 Anna;1921 Sq.ft;4;2;2;3;NORTH;8;['Solar', 'Modular Kitchen', 'Water Well']
Sano Bharayang House;location: Kathmandu, Nagarjung, Sano Bharayang;Rs 32,000,000;8 months ago;12*12 Inchs;12000 Liters;13 Feets;Concrete;2079 B.S.;03.0.01;2459 Sq.ft;6;2;2;4;EAST;1 Car & 3 Bikes;['Water Well']
CHANDRAGIRI-6 / RADHAKRISHNA HOUSE ON SALE;location: KATHMANDU, CHANDRAGIRI;Rs 26500000;8 months ago;12*12 Inchs;12000 Liters;13 Feets;Concrete;2079 B.S.;4 Anna;2459 Sq.ft;6;1;1;3;EAST;1 Car & 3 Bikes;['No Amenities Available']
CHANDRAGIRI-6 / RADHAKRISHNA HOUSE ON SALE;location: KATHMANDU, CHANDRAGIRI;Rs 23500000;8 months ago;12*12 Inchs;12000 Liters;13 Feets;Concrete;2078 B..S;0.5.0.1 Anna;2549 Sq.ft;6;2;2;3;EAST;1 Car & 3 Bikes;['No Amenities Available']
HOUSE ON SALE IN BIRATNAGAR 02 WEST OF EAST OF TINPAINI;location: BIRATNAGAR 02 WEST OF EAST OF TINPAINI;Rs 18000000;8 months ago;call us;call us;20 ft;pitched;call us;10 dhur;10 dhur;8;1;2;2;call us;2;['Solar', 'Water Filter', 'Water Well']
BAFAL HOUSE ON SALE;location: KATHMANDU, BAFAL;Rs 30,000,000;8 months ago;call us;call us;12 Feets;Gravel;call us;3 Anna;10 dhur;4;1;1;3;East-South;1 Car & 2 Bikes;['Modular Kitchen', 'Water Well']
CHAMATI HOUSE ON SALE;location: KATHMANDU, CHAMATI;Rs 26500000;8 months ago;;;16 feets;Black Topped;;2.3 Anna;;7;1;1;3;EAST;1 Car & 3 Bikes;['Modular Kitchen']
SANOBHARYANG RESIDENTAL HOME FOR SALE;location: KATHMANDU, SANOBHARYANG;Rs 39800000;8 months ago;;;13 Feet;Concrete;2075 B.S;5 Anna;;6;2;1;5;WEST;1 Car & 5 Bikes;['Water Filter', 'Water Well']
DHAPAKHEL / GAURIGAUN HOUSE ON SALE;location: LALITPUR, HATTIBAN;Rs 34000000;8 months ago;12*12 Inchs;8000 Liters;13 Feets;Gravel;2075 B.S;5 ANNA 3 PAISA;;5;2;1;3;EAST;2 Cars & 12 Bikes;['Water Well']
BHAKTAPUR/ KAUSHALTAR House On Sale;location: BHAKTAPUR, KAUSHALTAR;Rs 32000000;8 months ago;9*12 inch;18000;10 Feets;Blocks;2075 B.S;4 Anna 2 Daam;;5;2;2;4;NORTH;1 Car & 3 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well']
